HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HR,AR
'Aston Villa',Birmingham,0,0,D,7,10,3,6,13,11,1,4,0,0
Bolton,Liverpool,0,1,A,14,10,10,4,15,13,1,4,0,0
Newcastle,Sunderland,5,1,H,16,11,12,5,8,18,8,6,0,1
Blackpool,'West Brom',2,1,H,21,12,8,5,16,13,8,2,0,2
Birmingham,'West Ham',2,2,D,8,16,5,8,12,14,3,4,0,0
Blackburn,Wigan,2,1,H,10,16,3,10,16,15,3,6,0,0
Blackpool,Everton,2,2,D,11,20,8,14,14,12,3,7,0,0
Bolton,Tottenham,4,2,H,18,11,8,6,13,9,7,6,0,0
Fulham,'Aston Villa',1,1,D,14,15,10,8,12,4,3,3,0,0
'Man United',Wolves,2,1,H,14,8,10,6,6,11,3,2,0,0
Sunderland,Stoke,2,0,H,14,11,7,5,10,13,6,9,0,0
Arsenal,Newcastle,0,1,A,11,7,8,2,16,12,12,2,1,0
Liverpool,Chelsea,2,0,H,9,11,7,7,15,17,2,5,0,0
'West Brom','Man City',0,2,A,13,9,7,5,15,16,6,1,1,1
Stoke,Birmingham,3,2,H,19,14,12,10,6,8,10,4,0,0
Tottenham,Sunderland,1,1,D,20,8,12,4,6,15,17,3,0,0
'Aston Villa',Blackpool,3,2,H,19,12,12,6,7,10,11,8,0,0
Chelsea,Fulham,1,0,H,19,5,10,3,14,15,4,4,1,0
Everton,Bolton,1,1,D,23,10,12,5,8,12,15,10,1,0
'Man City','Man United',0,0,D,6,7,4,4,10,12,8,5,0,0
Newcastle,Blackburn,1,2,A,9,7,3,5,16,15,4,1,0,0
'West Ham','West Brom',2,2,D,8,14,5,6,13,5,6,7,0,0
Wigan,Liverpool,1,1,D,10,8,8,3,7,10,5,4,0,0
Wolves,Arsenal,0,2,A,14,12,7,8,7,14,5,2,0,0
'Aston Villa','Man United',2,2,D,12,16,6,10,11,9,9,7,0,0
'Man City',Birmingham,0,0,D,21,5,11,3,15,11,6,4,0,0
Newcastle,Fulham,0,0,D,13,10,7,8,11,19,5,5,0,0
Stoke,Liverpool,2,0,H,14,10,7,6,14,10,4,3,0,1
Tottenham,Blackburn,4,2,H,20,12,12,8,11,11,12,6,0,0
'West Ham',Blackpool,0,0,D,17,16,4,5,7,7,8,7,0,0
Wigan,'West Brom',1,0,H,13,12,4,6,13,13,5,5,0,0
Wolves,Bolton,2,3,A,10,13,6,7,10,10,12,3,0,0
Chelsea,Sunderland,0,3,A,14,19,7,9,9,13,6,3,0,0
Everton,Arsenal,1,2,A,14,13,7,8,15,14,9,2,0,0
Arsenal,Tottenham,2,3,A,12,10,7,6,17,16,2,6,0,0
Birmingham,Chelsea,1,0,H,1,24,1,9,9,2,4,14,0,0
Blackpool,Wolves,2,1,H,13,19,9,10,7,9,4,11,0,0
Bolton,Newcastle,5,1,H,18,6,9,1,13,9,2,3,0,1
Liverpool,'West Ham',3,0,H,19,6,11,1,8,8,10,2,0,0
'Man United',Wigan,2,0,H,17,10,12,4,10,14,11,1,0,2
'West Brom',Stoke,0,3,A,15,6,8,4,10,9,8,3,0,0
Blackburn,'Aston Villa',2,0,H,14,16,5,11,15,10,5,8,0,0
Fulham,'Man City',1,4,A,9,11,3,8,13,16,7,7,0,0
Sunderland,Everton,2,2,D,13,10,8,8,5,7,4,4,0,0
'Aston Villa',Arsenal,2,4,A,6,17,4,10,10,7,3,8,0,0
Bolton,Blackpool,2,2,D,24,16,14,10,8,14,4,4,0,0
Everton,'West Brom',1,4,A,12,7,4,3,11,18,2,2,1,1
Fulham,Birmingham,1,1,D,11,7,7,3,10,9,7,4,0,0
'Man United',Blackburn,7,1,H,15,3,11,2,6,6,5,2,0,0
Stoke,'Man City',1,1,D,16,9,9,4,8,10,6,2,0,0
'West Ham',Wigan,3,1,H,15,10,9,10,8,8,7,2,0,0
Wolves,Sunderland,3,2,H,14,15,8,9,11,10,11,5,0,0
Newcastle,Chelsea,1,1,D,5,17,3,13,9,11,6,7,0,0
Tottenham,Liverpool,2,1,H,20,12,13,8,6,16,5,8,0,0
Arsenal,Fulham,2,1,H,15,11,9,7,7,5,3,7,0,0
Birmingham,Tottenham,1,1,D,13,10,5,5,14,7,6,11,0,0
Blackburn,Wolves,3,0,H,10,10,7,7,9,11,8,11,0,0
Chelsea,Everton,1,1,D,12,16,5,7,7,11,7,2,0,0
'Man City',Bolton,1,0,H,19,7,10,2,12,18,8,8,1,0
Wigan,Stoke,2,2,D,15,11,8,7,11,10,5,4,0,0
Sunderland,'West Ham',1,0,H,17,8,12,2,6,8,9,3,0,0
'West Brom',Newcastle,3,1,H,20,11,12,7,11,9,7,3,0,0
Liverpool,'Aston Villa',3,0,H,12,5,7,2,12,13,4,3,0,0
'Aston Villa','West Brom',2,1,H,6,11,3,4,8,14,6,13,0,0
Everton,Wigan,0,0,D,16,5,8,4,13,18,9,4,0,0
Fulham,Sunderland,0,0,D,14,11,13,2,14,10,4,3,0,0
Newcastle,Liverpool,3,1,H,8,16,5,7,19,13,2,5,0,0
Stoke,Blackpool,0,1,A,16,10,5,5,12,11,10,4,0,0
'West Ham','Man City',1,3,A,13,12,3,7,10,13,2,6,0,0
Bolton,Blackburn,2,1,H,12,16,7,11,12,13,3,10,1,0
Tottenham,Chelsea,1,1,D,10,13,3,7,9,13,1,7,0,0
Wolves,Birmingham,1,0,H,14,3,9,0,9,15,7,2,0,0
'Man United',Arsenal,1,0,H,14,11,10,6,7,16,5,4,0,0
Blackburn,'West Ham',1,1,D,13,11,5,3,12,10,9,4,0,0
Sunderland,Bolton,1,0,H,13,12,5,8,6,13,2,5,0,0
'Man City',Everton,1,2,A,25,4,15,3,8,13,11,0,1,1
'Aston Villa',Tottenham,1,2,A,26,13,15,8,13,11,8,4,0,1
Blackburn,Stoke,0,2,A,12,11,8,9,12,20,5,3,0,0
Bolton,'West Brom',2,0,H,12,15,8,9,8,8,5,7,0,0
Fulham,'West Ham',1,3,A,13,10,6,7,12,10,8,4,0,0
'Man United',Sunderland,2,0,H,14,6,10,2,9,10,5,3,0,0
Newcastle,'Man City',1,3,A,20,9,10,6,7,15,6,3,0,0
Wolves,Wigan,1,2,A,8,13,4,8,7,14,7,3,0,0
Arsenal,Chelsea,3,1,H,10,10,8,4,12,16,4,6,0,0
Birmingham,'Man United',1,1,D,8,10,3,4,10,11,4,4,0,0
'Man City','Aston Villa',4,0,H,11,9,8,4,14,12,8,6,0,0
Stoke,Fulham,0,2,A,14,4,8,3,8,12,9,2,0,0
Sunderland,Blackpool,0,2,A,32,9,16,4,6,5,9,2,0,0
Tottenham,Newcastle,2,0,H,13,12,8,8,9,16,9,7,1,0
'West Brom',Blackburn,1,3,A,21,6,11,4,9,13,8,5,1,1
'West Ham',Everton,1,1,D,11,13,2,5,12,15,4,7,0,0
Chelsea,Bolton,1,0,H,12,6,7,2,12,24,6,3,0,0
Liverpool,Wolves,0,1,A,9,7,5,3,8,11,2,8,0,0
Wigan,Arsenal,2,2,D,7,15,5,9,16,11,3,4,1,0
Birmingham,Arsenal,0,3,A,2,18,1,11,7,9,4,5,0,0
Liverpool,Bolton,2,1,H,16,10,7,4,11,16,7,4,0,0
'Man City',Blackpool,1,0,H,15,8,4,6,11,9,10,4,0,0
Stoke,Everton,2,0,H,7,15,3,10,14,8,1,5,0,0
Sunderland,Blackburn,3,0,H,13,11,7,3,13,9,3,2,0,0
Tottenham,Fulham,1,0,H,13,12,9,4,11,9,5,1,0,0
'West Brom','Man United',1,2,A,17,5,8,3,8,13,4,5,0,0
'West Ham',Wolves,2,0,H,11,15,6,10,7,14,5,10,0,0
Chelsea,'Aston Villa',3,3,D,15,16,10,10,17,11,9,6,0,0
Wigan,Newcastle,0,1,A,9,13,4,5,15,14,3,3,0,0
Blackpool,Birmingham,1,2,A,19,11,13,7,9,6,3,7,0,0
Fulham,'West Brom',3,0,H,12,12,6,4,7,9,7,4,0,0
'Man United',Stoke,2,1,H,18,5,7,1,6,11,6,1,0,0
Arsenal,'Man City',0,0,D,13,5,8,0,6,12,7,2,1,1
'Aston Villa',Sunderland,0,1,A,8,11,2,5,9,12,5,9,1,1
Blackburn,Liverpool,3,1,H,10,13,4,9,14,13,0,7,0,0
Bolton,Wigan,1,1,D,14,10,7,7,9,8,8,4,0,0
Everton,Tottenham,2,1,H,19,13,12,5,16,12,4,3,0,0
Newcastle,'West Ham',5,0,H,11,13,7,6,10,10,4,3,0,0
Wolves,Chelsea,1,0,H,3,17,2,8,15,12,4,9,0,0
Blackpool,Liverpool,2,1,H,13,10,9,6,6,13,3,3,0,0
Chelsea,Blackburn,2,0,H,27,3,11,2,10,6,14,1,0,0
'Man City',Wolves,4,3,H,15,10,12,7,9,9,11,8,0,0
Stoke,Bolton,2,0,H,12,13,5,6,8,13,5,5,0,0
'West Brom',Blackpool,3,2,H,18,9,11,2,10,11,4,4,0,0
'West Ham',Arsenal,0,3,A,7,19,6,13,8,7,4,10,0,0
Wigan,Fulham,1,1,D,8,14,5,5,21,7,3,11,0,0
Birmingham,'Aston Villa',1,1,D,14,13,4,3,14,14,5,7,0,0
Liverpool,Everton,2,2,D,19,10,14,5,16,17,10,6,0,0
Sunderland,Newcastle,1,1,D,10,9,7,2,17,5,4,6,0,0
Tottenham,'Man United',0,0,D,16,7,6,4,9,18,8,2,0,1
Arsenal,Wigan,3,0,H,23,3,15,1,6,14,8,1,0,1
'Aston Villa','Man City',1,0,H,10,24,8,14,11,11,2,13,0,0
Blackpool,Sunderland,1,2,A,13,11,7,6,13,9,10,4,0,0
Everton,'West Ham',2,2,D,11,13,6,5,8,12,12,2,0,1
Fulham,Stoke,2,0,H,10,9,7,1,11,10,3,2,0,1
'Man United',Birmingham,5,0,H,23,6,9,1,10,5,10,3,0,0
Newcastle,Tottenham,1,1,D,13,14,6,9,13,7,1,4,0,0
Wolves,Liverpool,0,3,A,11,15,4,10,6,17,5,4,0,0
Blackburn,'West Brom',2,0,H,17,24,12,20,4,6,9,9,0,0
Bolton,Chelsea,0,4,A,11,14,8,11,7,4,4,3,0,0
Blackpool,'Man United',2,3,A,6,17,4,13,10,10,6,7,0,0
Wigan,'Aston Villa',1,2,A,19,11,8,10,9,13,7,4,0,0
Liverpool,Fulham,1,0,H,11,12,7,8,11,10,6,2,0,0
Arsenal,Everton,2,1,H,19,4,10,4,12,14,5,7,0,0
'Man United','Aston Villa',3,1,H,18,9,11,5,6,6,5,5,0,0
Sunderland,Chelsea,2,4,A,4,21,3,14,10,10,0,6,0,0
'West Brom',Wigan,2,2,D,21,11,10,7,13,12,8,5,0,0
Birmingham,'Man City',2,2,D,14,12,7,9,9,12,6,4,0,0
Blackburn,Tottenham,0,1,A,17,6,9,5,14,11,4,4,0,0
Blackpool,'West Ham',1,3,A,13,12,8,10,9,12,10,7,0,0
Bolton,Wolves,1,0,H,13,11,8,5,16,8,8,3,0,0
Fulham,Newcastle,1,0,H,11,4,9,3,14,19,4,7,0,0
Liverpool,Stoke,2,0,H,13,6,9,1,6,8,7,0,0,0
'Aston Villa',Fulham,2,2,D,10,13,5,9,15,11,3,6,0,0
Everton,Blackpool,5,3,H,23,11,16,7,8,17,9,5,0,0
'Man City','West Brom',3,0,H,13,17,9,9,13,10,8,8,0,0
Newcastle,Arsenal,4,4,D,16,13,8,10,13,15,12,6,0,1
Stoke,Sunderland,3,2,H,18,11,9,7,7,15,12,4,0,0
Tottenham,Bolton,2,1,H,13,8,7,3,13,11,6,7,0,0
Wigan,Blackburn,4,3,H,11,9,7,5,11,12,4,9,0,0
Wolves,'Man United',2,1,H,6,14,5,7,6,11,4,6,0,0
Chelsea,Liverpool,0,1,A,14,7,4,4,9,9,4,3,0,0
'West Ham',Birmingham,0,1,A,16,9,9,3,18,13,5,5,0,0
Arsenal,Wolves,2,0,H,17,2,8,0,15,9,3,6,0,0
Birmingham,Stoke,1,0,H,10,15,4,5,15,14,3,5,0,0
Blackburn,Newcastle,0,0,D,4,12,0,6,11,11,2,11,0,0
Blackpool,'Aston Villa',1,1,D,14,7,5,4,13,14,4,8,0,1
Liverpool,Wigan,1,1,D,13,8,5,2,11,17,8,5,0,0
'Man United','Man City',2,1,H,11,13,6,8,15,13,4,7,0,0
Sunderland,Tottenham,1,2,A,16,11,10,5,14,12,2,3,0,0
'West Brom','West Ham',3,3,D,15,18,11,11,12,13,4,9,0,0
Bolton,Everton,2,0,H,11,9,5,4,15,12,4,4,0,0
Fulham,Chelsea,0,0,D,12,23,8,9,10,13,4,6,0,0
Birmingham,Newcastle,0,2,A,11,10,5,7,13,14,4,6,0,0
'West Brom',Wolves,1,1,D,19,6,11,2,6,6,12,1,0,0
Blackpool,Tottenham,3,1,H,8,25,4,10,11,8,1,7,0,0
Arsenal,Stoke,1,0,H,9,7,4,4,8,9,5,3,0,0
'Aston Villa',Blackburn,4,1,H,17,5,10,2,4,12,10,2,0,1
Everton,Sunderland,2,0,H,17,12,9,7,11,8,4,1,0,0
Newcastle,Bolton,1,1,D,13,17,6,10,7,11,3,6,1,0
Wigan,'Man United',0,4,A,10,14,4,9,13,11,8,4,0,0
Wolves,Blackpool,4,0,H,15,2,11,1,16,10,11,4,0,1
'Man City',Fulham,1,1,D,14,11,4,5,17,13,10,1,0,0
'West Ham',Liverpool,3,1,H,17,12,11,8,10,8,6,8,0,0
Stoke,'West Brom',1,1,D,6,16,3,11,17,14,4,0,0,0
Chelsea,'Man United',2,1,H,17,12,11,7,11,14,10,2,0,1
Arsenal,Sunderland,0,0,D,14,6,7,3,13,10,5,6,0,0
Birmingham,'West Brom',1,3,A,9,9,4,5,8,10,7,3,0,0
Bolton,'Aston Villa',3,2,H,15,10,9,6,18,11,8,5,0,0
Fulham,Blackburn,3,2,H,15,12,11,9,12,17,9,7,0,0
'Man City',Wigan,1,0,H,7,12,3,5,17,8,4,6,0,0
Newcastle,Everton,1,2,A,10,13,8,8,12,14,5,4,0,0
'West Ham',Stoke,3,0,H,15,7,10,5,9,10,7,3,0,0
Liverpool,'Man United',3,1,H,17,12,10,7,12,12,6,4,0,0
Wolves,Tottenham,3,3,D,13,15,4,10,10,11,7,4,0,0
Blackpool,Chelsea,1,3,A,14,18,5,11,5,8,3,13,0,0
Everton,Birmingham,1,1,D,17,5,11,3,8,12,9,1,0,0
'Aston Villa',Wolves,0,1,A,11,8,5,5,15,19,8,3,0,0
Blackburn,Blackpool,2,2,D,24,8,7,6,15,12,8,3,0,0
Everton,Fulham,2,1,H,16,12,12,6,15,19,7,5,0,0
'Man United',Bolton,1,0,H,14,11,8,6,8,11,12,5,1,0
Stoke,Newcastle,4,0,H,8,14,6,9,16,9,3,7,0,0
Tottenham,'West Ham',0,0,D,26,11,14,5,6,13,6,2,0,0
'West Brom',Arsenal,2,2,D,4,18,3,11,9,7,2,7,0,0
Wigan,Birmingham,2,1,H,16,7,13,4,13,13,9,4,0,0
Chelsea,'Man City',2,0,H,16,5,11,2,16,13,5,1,0,0
Sunderland,Liverpool,0,2,A,3,10,1,4,11,7,3,6,1,0
Arsenal,Blackburn,0,0,D,19,7,11,2,10,9,11,4,0,1
Birmingham,Bolton,2,1,H,9,19,6,12,11,16,8,9,0,0
Everton,'Aston Villa',2,2,D,14,7,7,5,13,16,5,7,0,0
Newcastle,Wolves,4,1,H,17,13,13,9,19,10,5,4,0,0
Stoke,Chelsea,1,1,D,13,20,6,10,9,10,5,12,0,0
'West Brom',Liverpool,2,1,H,17,13,14,9,10,15,0,5,0,0
'West Ham','Man United',2,4,A,6,18,2,9,10,9,0,16,0,0
Wigan,Tottenham,0,0,D,14,10,5,6,11,13,8,2,0,0
Fulham,Blackpool,3,0,H,13,10,11,6,14,5,4,7,0,0
'Man City',Sunderland,5,0,H,14,8,12,4,9,20,6,5,0,0
Blackburn,Birmingham,1,1,D,15,6,5,5,10,10,8,2,0,0
Bolton,'West Ham',3,0,H,23,14,12,8,6,10,5,10,0,0
Chelsea,Wigan,1,0,H,21,11,13,7,11,12,10,5,0,0
'Man United',Fulham,2,0,H,16,12,12,5,12,8,8,3,0,0
Sunderland,'West Brom',2,3,A,7,12,4,8,10,11,5,2,0,0
Tottenham,Stoke,3,2,H,9,10,8,5,11,16,10,5,0,0
Wolves,Everton,0,3,A,11,9,7,6,13,14,13,6,0,0
'Aston Villa',Newcastle,1,0,H,13,6,7,4,8,10,9,2,0,0
Blackpool,Arsenal,1,3,A,12,16,6,7,13,9,6,4,0,0
Liverpool,'Man City',3,0,H,15,13,7,4,6,3,6,2,0,0
Birmingham,Sunderland,2,0,H,10,15,4,7,7,10,4,9,0,0
Blackpool,Wigan,1,3,A,14,9,9,5,13,12,5,3,0,0
Everton,Blackburn,2,0,H,17,4,7,2,9,17,10,1,0,0
'West Brom',Chelsea,1,3,A,12,19,6,11,7,10,3,5,0,0
'West Ham','Aston Villa',1,2,A,12,21,7,11,8,3,5,11,0,0
Arsenal,Liverpool,1,1,D,12,9,6,5,13,13,10,3,0,0
Newcastle,'Man United',0,0,D,12,18,5,8,9,10,6,7,0,0
Chelsea,Birmingham,3,1,H,17,6,7,3,9,11,7,4,0,0
Tottenham,Arsenal,3,3,D,16,13,9,9,8,13,7,6,0,0
'Aston Villa',Stoke,1,1,D,7,4,2,3,9,9,7,8,0,0
Blackpool,Newcastle,1,1,D,18,9,7,6,17,8,4,4,0,0
Chelsea,'West Ham',3,0,H,16,12,11,7,7,13,5,7,0,0
Liverpool,Birmingham,5,0,H,17,10,13,6,7,12,5,2,0,0
'Man United',Everton,1,0,H,21,5,12,3,10,9,13,1,0,0
Sunderland,Wigan,4,2,H,11,11,7,7,11,9,7,3,0,0
Tottenham,'West Brom',2,2,D,19,10,9,4,8,9,11,1,0,0
Wolves,Fulham,1,1,D,12,15,3,5,15,17,3,5,0,0
Bolton,Arsenal,2,1,H,11,17,10,7,13,14,3,9,0,0
Blackburn,'Man City',0,1,A,12,10,6,5,15,15,4,6,0,0
Stoke,Wolves,3,0,H,17,5,8,1,12,10,7,11,0,0
Fulham,Bolton,3,0,H,18,14,7,6,12,8,10,7,0,0
Blackburn,Bolton,1,0,H,17,11,8,3,7,9,3,10,0,0
Blackpool,Stoke,0,0,D,11,9,6,6,10,11,4,8,0,0
Chelsea,Tottenham,2,1,H,16,12,10,7,11,11,6,5,0,0
Sunderland,Fulham,0,3,A,11,9,7,6,7,12,5,4,0,0
'West Brom','Aston Villa',2,1,H,8,11,4,6,12,12,3,7,1,0
Wigan,Everton,1,1,D,13,3,9,3,12,12,3,8,0,0
Arsenal,'Man United',1,0,H,9,11,2,7,15,7,3,6,0,0
Birmingham,Wolves,1,1,D,8,7,1,2,10,16,0,2,1,0
Liverpool,Newcastle,3,0,H,9,7,5,3,15,10,3,12,0,0
'Man City','West Ham',2,1,H,19,7,12,4,13,8,8,5,0,0
'Aston Villa',Wigan,1,1,D,10,7,7,4,6,11,2,5,0,0
Bolton,Sunderland,1,2,A,17,10,9,6,14,10,5,5,0,0
Everton,'Man City',2,1,H,10,12,6,7,13,15,11,6,0,0
Newcastle,Birmingham,2,1,H,19,5,14,2,10,12,8,2,0,1
Tottenham,Blackpool,1,1,D,20,13,11,7,5,13,7,6,0,0
'West Ham',Blackburn,1,1,D,24,8,15,4,7,14,7,3,0,0
'Man United',Chelsea,2,1,H,13,19,8,11,12,14,7,2,0,0
Stoke,Arsenal,3,1,H,12,14,7,5,7,10,2,5,0,0
Wolves,'West Brom',3,1,H,14,14,10,6,9,7,8,4,0,0
Fulham,Liverpool,2,5,A,10,16,7,11,18,11,6,5,0,0
'Man City',Tottenham,1,0,H,7,14,4,7,7,8,2,8,0,0
Blackburn,'Man United',1,1,D,6,9,2,4,11,11,2,6,0,0
Blackpool,Bolton,4,3,H,12,17,8,9,16,12,5,6,0,0
Sunderland,Wolves,1,3,A,14,10,9,6,8,19,5,5,0,0
'West Brom',Everton,1,0,H,14,23,9,10,15,9,2,12,0,1
Arsenal,'Aston Villa',1,2,A,24,8,15,5,9,10,13,2,0,0
Birmingham,Fulham,0,2,A,7,18,2,9,7,15,5,5,0,0
Chelsea,Newcastle,2,2,D,15,13,7,9,17,13,7,4,0,0
Liverpool,Tottenham,0,2,A,10,8,2,4,13,7,11,5,0,0
Wigan,'West Ham',3,2,H,19,13,10,10,7,10,10,6,0,0
'Man City',Stoke,3,0,H,16,4,9,2,6,9,4,3,0,0
'Aston Villa',Liverpool,1,0,H,10,9,8,4,12,12,4,5,0,0
Bolton,'Man City',0,2,A,16,16,8,10,11,10,6,5,1,0
