HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HR,AR
'Aston Villa','West Ham',3,0,H,23,12,11,2,15,15,16,7,0,0
Blackburn,Everton,1,0,H,7,17,2,12,19,14,1,3,0,0
Bolton,Fulham,0,0,D,13,12,9,7,12,13,4,8,0,0
Chelsea,'West Brom',6,0,H,18,10,13,4,10,10,3,1,0,0
Sunderland,Birmingham,2,2,D,6,13,2,7,13,10,3,6,1,0
Tottenham,'Man City',0,0,D,22,11,18,7,13,16,10,3,0,0
Wigan,Blackpool,0,4,A,11,9,6,7,8,11,6,4,0,0
Wolves,Stoke,2,1,H,13,10,7,6,17,13,5,5,0,0
Liverpool,Arsenal,1,1,D,7,14,4,7,13,15,9,11,1,1
'Man United',Newcastle,3,0,H,18,7,10,3,9,5,5,3,0,0
Arsenal,Blackpool,6,0,H,26,3,16,1,9,3,8,2,0,1
Birmingham,Blackburn,2,1,H,10,7,7,2,13,14,4,12,0,0
Everton,Wolves,1,1,D,14,9,6,4,18,15,3,3,0,0
Stoke,Tottenham,1,2,A,15,7,10,6,15,4,6,2,0,0
'West Brom',Sunderland,1,0,H,11,10,5,4,16,12,4,6,0,0
'West Ham',Bolton,1,3,A,17,12,10,8,11,18,8,5,0,0
Wigan,Chelsea,0,6,A,17,10,12,8,12,7,0,0,0,0
Fulham,'Man United',2,2,D,16,14,8,7,7,6,5,11,0,0
Newcastle,'Aston Villa',6,0,H,20,3,14,1,15,12,10,2,0,0
'Man City',Liverpool,3,0,H,8,13,3,7,13,12,5,4,0,0
Blackburn,Arsenal,1,2,A,15,14,7,9,9,7,4,8,0,0
Blackpool,Fulham,2,2,D,14,12,5,7,13,16,4,5,0,0
Chelsea,Stoke,2,0,H,15,9,6,3,5,10,6,1,0,0
'Man United','West Ham',3,0,H,18,7,11,2,6,11,9,3,0,0
Tottenham,Wigan,0,1,A,12,13,7,5,10,11,16,7,0,0
Wolves,Newcastle,1,1,D,5,11,2,6,20,17,5,3,0,0
'Aston Villa',Everton,1,0,H,12,15,6,9,19,10,4,16,0,0
Bolton,Birmingham,2,2,D,11,9,8,5,19,17,6,1,1,0
Liverpool,'West Brom',1,0,H,11,14,7,5,9,8,7,6,0,1
Sunderland,'Man City',1,0,H,12,9,4,7,5,9,3,7,0,0
Arsenal,Bolton,4,1,H,23,7,14,6,11,11,9,6,0,1
Everton,'Man United',3,3,D,23,13,14,8,11,18,7,5,0,0
Fulham,Wolves,2,1,H,13,4,6,2,9,17,6,6,0,1
'Man City',Blackburn,1,1,D,20,4,14,2,12,10,14,2,0,0
Newcastle,Blackpool,0,2,A,16,7,13,4,15,14,3,2,0,0
'West Brom',Tottenham,1,1,D,15,16,8,9,12,9,9,4,0,0
'West Ham',Chelsea,1,3,A,13,17,7,9,13,10,1,5,0,0
Wigan,Sunderland,1,1,D,17,4,4,2,19,11,5,1,0,1
Birmingham,Liverpool,0,0,D,15,14,3,8,8,9,4,3,0,0
Stoke,'Aston Villa',2,1,H,20,10,12,6,11,14,8,7,0,0
'Aston Villa',Bolton,1,1,D,13,13,6,7,15,8,8,4,0,0
Blackburn,Fulham,1,1,D,9,9,5,4,15,10,3,3,0,0
Everton,Newcastle,0,1,A,6,9,3,4,15,21,3,6,0,0
Stoke,'West Ham',1,1,D,9,13,3,6,14,8,6,3,0,0
Sunderland,Arsenal,1,1,D,16,16,5,7,11,13,11,3,0,1
Tottenham,Wolves,3,1,H,20,5,11,2,7,11,5,4,0,0
'West Brom',Birmingham,3,1,H,16,6,10,3,11,8,5,0,0,0
Chelsea,Blackpool,4,0,H,27,11,15,4,7,4,9,6,0,0
'Man United',Liverpool,3,2,H,16,7,7,1,15,10,6,1,0,0
Wigan,'Man City',0,2,A,9,11,3,5,10,14,3,1,0,0
Arsenal,'West Brom',2,3,A,24,7,12,5,15,14,16,4,0,0
Birmingham,Wigan,0,0,D,10,17,4,10,12,18,3,7,1,0
Blackpool,Blackburn,1,2,A,11,13,8,8,12,11,8,8,0,0
Fulham,Everton,0,0,D,12,15,2,7,15,13,4,5,0,0
Liverpool,Sunderland,2,2,D,13,10,5,1,15,7,3,3,0,0
'Man City',Chelsea,1,0,H,8,15,6,4,10,12,3,4,0,0
'West Ham',Tottenham,1,0,H,22,17,15,11,10,11,14,7,0,0
Bolton,'Man United',2,2,D,15,12,9,6,16,18,7,12,0,0
Newcastle,Stoke,1,2,A,11,8,7,2,8,11,3,4,0,0
Wolves,'Aston Villa',1,2,A,14,10,12,8,15,19,5,4,0,0
Birmingham,Everton,0,2,A,6,11,3,6,5,11,6,5,0,0
Stoke,Blackburn,1,0,H,18,7,11,4,8,13,8,6,0,0
Sunderland,'Man United',0,0,D,14,10,8,4,10,6,10,4,0,0
Tottenham,'Aston Villa',2,1,H,19,13,10,4,12,19,10,4,0,0
'West Brom',Bolton,1,1,D,17,10,9,5,8,10,7,4,0,0
'West Ham',Fulham,1,1,D,12,17,5,5,15,8,2,3,0,0
Wigan,Wolves,2,0,H,24,2,17,0,9,12,3,3,0,1
Chelsea,Arsenal,2,0,H,11,13,6,5,7,12,10,10,0,0
Liverpool,Blackpool,1,2,A,19,11,10,7,11,10,5,2,0,0
'Man City',Newcastle,2,1,H,9,8,5,4,11,13,4,4,0,0
Arsenal,Birmingham,2,1,H,18,6,13,4,16,9,7,3,1,0
'Aston Villa',Chelsea,0,0,D,11,13,5,6,11,11,9,5,0,0
Bolton,Stoke,2,1,H,11,8,6,3,10,8,5,6,1,0
Fulham,Tottenham,1,2,A,11,14,5,6,9,10,4,11,0,0
'Man United','West Brom',2,2,D,16,7,9,2,10,7,3,2,0,0
Newcastle,Wigan,2,2,D,9,8,4,4,13,14,6,3,0,0
Wolves,'West Ham',1,1,D,9,9,5,7,10,8,8,3,0,0
Blackpool,'Man City',2,3,A,16,13,5,8,9,9,3,9,0,0
Everton,Liverpool,2,0,H,9,15,6,9,10,9,8,7,0,0
Blackburn,Sunderland,0,0,D,9,16,3,7,12,11,5,3,1,0
Birmingham,Blackpool,2,0,H,17,14,8,6,8,16,9,10,0,0
Chelsea,Wolves,2,0,H,17,12,10,9,8,8,8,8,0,0
Sunderland,'Aston Villa',1,0,H,13,11,6,7,11,13,4,11,0,0
Tottenham,Everton,1,1,D,13,7,8,3,15,14,4,4,0,0
'West Brom',Fulham,2,1,H,14,9,7,3,3,8,7,5,0,0
'West Ham',Newcastle,1,2,A,5,13,1,8,12,6,2,6,0,0
Wigan,Bolton,1,1,D,15,9,9,2,8,14,5,0,0,0
Liverpool,Blackburn,2,1,H,17,4,10,2,17,12,15,4,0,0
'Man City',Arsenal,0,3,A,9,12,6,8,11,10,6,7,1,0
Stoke,'Man United',1,2,A,6,12,2,5,6,13,5,6,0,0
Arsenal,'West Ham',1,0,H,20,6,13,3,14,18,7,4,0,0
Blackburn,Chelsea,1,2,A,13,16,6,9,12,14,4,5,0,0
Everton,Stoke,1,0,H,18,9,10,1,16,14,6,2,0,0
Fulham,Wigan,2,0,H,15,8,9,3,7,12,7,1,0,0
'Man United',Tottenham,2,0,H,18,11,10,5,12,10,1,4,0,0
Wolves,'Man City',2,1,H,10,17,6,9,5,14,5,7,0,0
