HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HR,AR
'Man United',Reading,3,2,H,28,7,12,3,9,11,13,4,0,1
'Sheffield United',Arsenal,1,0,H,11,9,5,4,11,5,5,9,0,0
Tottenham,Liverpool,0,1,A,9,10,3,5,5,21,2,3,0,0
'West Ham','Man City',0,1,A,12,7,6,5,12,15,6,2,0,0
Fulham,Watford,0,0,D,16,13,4,5,6,17,6,7,0,1
Liverpool,Bolton,3,0,H,19,1,9,0,18,12,8,8,0,0
'Man City',Everton,2,1,H,11,15,7,5,13,13,4,6,0,0
Middlesbrough,'Sheffield United',3,1,H,13,6,7,3,10,11,7,3,0,0
Newcastle,'Man United',2,2,D,8,20,8,8,11,10,1,10,0,0
Portsmouth,Tottenham,1,1,D,15,9,9,7,12,12,10,6,0,0
Reading,'West Ham',6,0,H,18,9,9,3,6,13,3,3,0,0
Wigan,Blackburn,0,3,A,14,8,5,5,10,16,5,5,0,0
Arsenal,Charlton,4,0,H,16,4,10,2,13,9,8,2,0,1
'Aston Villa',Chelsea,0,0,D,4,22,2,12,7,13,5,8,0,0
Blackburn,Arsenal,0,2,A,13,6,7,4,15,5,8,2,0,1
Bolton,'Man City',0,0,D,8,7,4,0,14,13,5,2,0,0
Charlton,Middlesbrough,1,3,A,16,12,9,9,12,15,5,3,0,0
Chelsea,Wigan,4,0,H,12,2,6,1,15,17,7,3,0,0
'Man United','Aston Villa',3,1,H,27,7,17,5,8,15,8,4,0,0
'Sheffield United',Portsmouth,1,1,D,6,13,3,6,14,19,2,10,0,0
Watford,Liverpool,0,3,A,8,22,4,13,9,10,3,12,0,0
'West Ham',Fulham,3,3,D,10,9,7,6,20,21,8,5,1,0
Everton,Reading,1,1,D,14,7,7,3,12,17,8,5,0,0
Tottenham,Newcastle,2,3,A,25,12,17,7,8,9,5,3,0,0
'Aston Villa',Watford,2,0,H,17,11,6,6,11,20,7,6,0,0
Fulham,Tottenham,1,1,D,9,9,3,4,14,16,5,6,1,0
Liverpool,Chelsea,2,0,H,17,11,8,3,10,17,3,7,0,0
'Man City',Blackburn,0,3,A,13,12,9,5,14,11,6,3,0,0
Middlesbrough,Bolton,5,1,H,10,11,5,5,12,13,1,8,0,1
Newcastle,'West Ham',2,2,D,14,12,7,7,16,26,10,2,0,0
Portsmouth,Charlton,0,1,A,9,8,3,5,9,11,10,7,0,0
Reading,'Sheffield United',3,1,H,17,4,10,1,12,8,7,2,0,1
Arsenal,'Man United',2,1,H,18,10,11,6,13,11,8,6,0,0
Wigan,Everton,0,2,A,13,8,6,5,11,17,6,6,0,0
Watford,Blackburn,2,1,H,15,15,7,3,14,7,9,6,0,0
Portsmouth,Middlesbrough,0,0,D,15,3,4,3,10,10,10,5,0,0
Reading,Wigan,3,2,H,19,21,12,14,11,11,4,3,0,0
'Sheffield United',Fulham,2,0,H,16,7,8,0,14,10,5,4,0,0
'West Ham',Liverpool,1,2,A,13,15,6,9,11,8,4,9,0,0
Bolton,Charlton,1,1,D,12,4,7,2,7,11,10,0,0,0
Chelsea,Blackburn,3,0,H,18,6,15,4,12,11,3,9,0,0
'Man United',Watford,4,0,H,21,2,10,1,11,11,7,2,0,0
Newcastle,'Aston Villa',3,1,H,8,14,4,9,15,15,3,7,0,0
'Aston Villa','West Ham',1,0,H,17,7,6,2,13,21,9,6,0,0
Blackburn,'Sheffield United',2,1,H,11,11,6,5,18,19,7,6,1,0
Charlton,Chelsea,0,1,A,8,17,5,8,7,8,6,5,0,0
Fulham,Newcastle,2,1,H,15,8,9,4,12,13,8,6,0,0
Liverpool,Everton,0,0,D,25,6,10,4,13,18,6,4,0,0
'Man City',Reading,0,2,A,16,7,7,3,12,13,5,6,0,0
Middlesbrough,Arsenal,1,1,D,3,11,1,4,14,5,3,6,0,1
Watford,Bolton,0,1,A,7,7,3,4,8,9,5,4,0,0
Wigan,Portsmouth,1,0,H,15,5,8,4,10,8,6,6,0,0
Tottenham,'Man United',0,4,A,10,12,5,7,8,16,5,7,0,0
Chelsea,Middlesbrough,3,0,H,15,3,5,0,6,11,5,1,0,0
Everton,Blackburn,1,0,H,15,8,8,4,15,13,3,10,0,0
'Man United',Charlton,2,0,H,18,8,11,2,11,8,5,3,0,0
Newcastle,Liverpool,2,1,H,7,13,3,9,9,14,3,4,0,0
Portsmouth,'Man City',2,1,H,17,6,10,3,12,12,13,8,0,0
Reading,'Aston Villa',2,0,H,12,17,9,7,13,11,12,8,0,0
'Sheffield United',Tottenham,2,1,H,16,6,5,1,14,11,13,3,0,0
'West Ham',Watford,0,1,A,23,8,10,5,17,23,10,4,0,0
Arsenal,Wigan,2,1,H,10,8,3,2,9,15,10,1,0,0
Bolton,Fulham,2,1,H,7,7,4,6,14,11,9,8,0,0
Everton,Tottenham,1,2,A,10,8,3,4,7,14,5,1,0,0
Watford,Wigan,1,1,D,10,16,6,13,11,11,8,3,0,1
Charlton,'West Ham',4,0,H,12,11,5,8,13,7,7,6,0,0
Fulham,'Man United',1,2,A,16,16,6,8,16,12,3,7,0,0
Liverpool,'Sheffield United',4,0,H,8,6,4,2,12,9,5,1,0,0
Middlesbrough,Reading,2,1,H,9,10,6,4,9,12,9,5,0,0
Watford,Everton,0,3,A,11,13,3,5,10,17,5,9,0,0
Blackburn,Portsmouth,3,0,H,13,13,11,6,11,16,7,4,0,0
Tottenham,Bolton,4,1,H,14,10,10,6,2,17,5,5,1,0
Wigan,Newcastle,1,0,H,7,5,4,2,11,12,8,6,0,0
Arsenal,Reading,2,1,H,16,7,9,4,8,14,16,7,0,0
Fulham,'Aston Villa',1,1,D,13,9,7,4,10,21,5,8,0,0
Liverpool,'Man United',0,1,A,15,5,8,3,11,12,12,2,0,1
'Man City',Wigan,0,1,A,4,9,3,5,13,14,9,4,0,0
Newcastle,Middlesbrough,0,0,D,11,7,8,4,12,14,8,2,0,0
Portsmouth,Chelsea,0,2,A,8,10,5,5,8,10,7,5,0,0
'Sheffield United',Everton,1,1,D,8,7,6,2,18,10,5,6,0,0
Watford,Charlton,2,2,D,14,13,10,5,18,10,8,1,0,0
Bolton,Blackburn,1,2,A,15,10,10,2,14,8,8,0,0,0
'West Ham',Tottenham,3,4,A,12,12,6,7,15,12,6,3,0,0
'Aston Villa',Arsenal,0,1,A,11,10,6,5,12,14,6,4,0,0
'Man City',Chelsea,0,1,A,8,5,2,3,10,13,5,4,0,0
Blackburn,'West Ham',1,2,A,9,10,3,7,18,22,10,9,1,0
Chelsea,'Sheffield United',3,0,H,13,7,8,4,7,10,5,1,0,0
'Man United',Bolton,4,1,H,15,7,7,0,14,13,1,5,0,0
Middlesbrough,'Man City',0,2,A,11,14,5,8,13,21,10,3,0,0
Reading,Portsmouth,0,0,D,5,10,0,5,11,15,10,4,0,0
Tottenham,Watford,3,1,H,17,2,11,2,5,8,5,4,0,0
Wigan,Fulham,0,0,D,6,3,3,0,13,6,7,1,0,0
'Aston Villa',Liverpool,0,0,D,9,7,3,3,11,12,2,6,0,0
Charlton,Newcastle,2,0,H,10,12,4,6,14,20,5,5,0,0
Everton,Arsenal,1,0,H,11,18,4,9,17,13,5,4,0,0
Bolton,'Sheffield United',1,0,H,19,7,12,4,8,12,11,4,0,0
Charlton,Wigan,1,0,H,4,6,1,1,10,15,4,9,0,0
Fulham,Portsmouth,1,1,D,13,10,9,7,14,22,6,4,0,0
Liverpool,Arsenal,4,1,H,12,11,7,3,17,8,2,7,0,0
'Man United',Blackburn,4,1,H,27,6,17,3,7,12,8,1,0,0
Newcastle,'Man City',0,1,A,15,7,6,5,9,16,8,1,0,0
Watford,Chelsea,0,1,A,12,13,6,8,18,9,5,10,0,0
'West Ham',Middlesbrough,2,0,H,9,10,6,3,11,17,3,4,0,0
Tottenham,Reading,1,0,H,18,6,7,3,7,6,5,7,0,0
'Aston Villa',Everton,1,1,D,17,18,10,8,18,16,5,6,0,0
Everton,Fulham,4,1,H,14,15,10,8,18,12,4,10,0,0
'Man City',Charlton,0,0,D,13,3,6,1,12,11,14,7,0,0
Arsenal,'West Ham',0,1,A,29,6,15,5,10,15,14,1,0,0
Blackburn,'Aston Villa',1,2,A,10,9,3,7,17,12,4,10,0,0
Chelsea,Tottenham,1,0,H,11,6,8,5,13,11,11,7,0,0
Middlesbrough,Watford,4,1,H,24,6,14,3,7,14,9,3,0,0
Portsmouth,'Man United',2,1,H,14,15,9,7,13,2,8,7,0,0
Reading,Liverpool,1,2,A,8,4,4,3,10,16,7,6,0,0
'Sheffield United',Newcastle,1,2,A,17,10,11,3,11,13,5,4,0,0
Wigan,Bolton,1,3,A,17,10,9,9,7,13,9,5,0,0
'Aston Villa',Wigan,1,1,D,13,2,7,1,11,11,13,1,0,1
Bolton,Everton,1,1,D,7,9,4,7,16,19,7,7,0,0
Charlton,Reading,0,0,D,8,14,5,6,13,13,1,11,0,0
Fulham,'Man City',1,3,A,12,7,5,5,12,15,7,4,0,0
Newcastle,Arsenal,0,0,D,8,6,4,2,13,14,3,6,0,0
Watford,Portsmouth,4,2,H,15,10,10,6,13,15,6,2,0,0
Arsenal,Bolton,2,1,H,19,6,9,2,7,18,2,5,0,1
'Man City',Liverpool,0,0,D,7,11,1,3,12,15,4,4,0,0
Middlesbrough,'Aston Villa',1,3,A,13,9,5,7,20,8,2,4,0,0
Portsmouth,Newcastle,2,1,H,21,7,7,3,13,8,10,5,0,0
Reading,Fulham,1,0,H,12,13,6,5,8,7,10,6,0,0
'Sheffield United','West Ham',3,0,H,6,11,5,3,11,8,4,2,0,0
Everton,Charlton,2,1,H,18,7,11,4,7,15,7,4,0,0
Wigan,Tottenham,3,3,D,21,10,11,6,18,6,5,5,0,0
Arsenal,'Man City',3,1,H,12,9,10,6,8,8,7,3,0,0
'Man United','Sheffield United',2,0,H,13,10,10,3,10,13,4,1,0,0
Blackburn,Watford,3,1,H,18,4,10,4,8,14,5,4,0,0
Liverpool,Middlesbrough,2,0,H,18,5,7,2,8,13,8,2,0,0
'West Ham',Chelsea,1,4,A,14,14,10,7,21,9,9,5,0,0
Bolton,Reading,1,3,A,18,10,15,7,17,13,7,4,0,0
Charlton,'Sheffield United',1,1,D,10,15,2,10,16,13,8,3,0,0
Fulham,Blackburn,1,1,D,13,18,6,9,17,15,7,11,0,0
Liverpool,Wigan,2,0,H,23,4,12,3,10,10,12,3,0,0
'Man United',Middlesbrough,1,1,D,21,10,9,5,10,17,6,7,0,0
Tottenham,Arsenal,2,2,D,7,17,3,5,10,6,4,6,0,0
Watford,'Man City',1,1,D,4,4,1,1,9,6,5,3,0,0
'West Ham',Everton,1,0,H,15,10,7,2,16,10,5,7,0,0
'Aston Villa',Portsmouth,0,0,D,17,5,8,2,10,20,15,3,0,0
Newcastle,Chelsea,0,0,D,11,12,3,4,15,16,4,2,0,0
Blackburn,Charlton,4,1,H,16,8,9,3,14,5,7,2,0,1
Chelsea,Bolton,2,2,D,11,6,3,3,8,10,11,2,0,0
Everton,'Man United',2,4,A,8,18,3,12,17,11,4,9,0,0
'Man City','Aston Villa',0,2,A,14,15,7,7,14,8,5,6,0,0
Middlesbrough,Tottenham,2,3,A,16,11,8,5,11,9,7,3,0,0
Portsmouth,Liverpool,2,1,H,9,11,7,4,12,7,7,6,0,0
'Sheffield United',Watford,1,0,H,11,13,6,3,13,17,5,7,0,0
Wigan,'West Ham',0,3,A,9,12,6,7,5,17,5,1,0,0
Arsenal,Fulham,3,1,H,10,7,5,1,6,10,7,6,0,0
Reading,Newcastle,1,0,H,13,18,8,11,14,11,8,10,0,0
'Aston Villa','Sheffield United',3,0,H,19,9,11,2,14,14,13,5,0,0
Everton,Portsmouth,3,0,H,13,12,7,5,9,19,9,8,0,0
Fulham,Liverpool,1,0,H,7,9,5,5,17,15,4,14,1,0
'Man City','Man United',0,1,A,4,6,3,3,13,10,5,3,0,0
Newcastle,Blackburn,0,2,A,14,8,6,6,12,20,5,2,0,0
Reading,Watford,0,2,A,15,4,7,4,10,16,14,2,0,0
'West Ham',Bolton,3,1,H,9,8,6,3,17,21,5,3,0,0
Wigan,Middlesbrough,0,1,A,15,7,7,3,17,8,5,3,0,0
Arsenal,Chelsea,1,1,D,7,9,4,4,19,13,3,7,0,1
Charlton,Tottenham,0,2,A,7,9,4,6,7,4,11,5,0,0
Chelsea,'Man United',0,0,D,15,5,10,0,12,20,8,1,0,0
Tottenham,Blackburn,1,1,D,15,10,7,4,4,17,6,6,0,1
