HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HR,AR
Blackburn,Wolves,1,2,A,16,13,8,4,14,10,12,6,0,0
Fulham,'Aston Villa',0,0,D,13,7,9,1,10,18,2,3,0,0
Liverpool,Sunderland,1,1,D,11,15,4,6,17,12,6,3,0,0
Newcastle,Arsenal,0,0,D,6,9,1,4,9,11,2,5,0,1
QPR,Bolton,0,4,A,13,13,7,7,9,16,3,2,1,0
Wigan,Norwich,1,1,D,18,13,11,3,11,8,7,3,0,0
Stoke,Chelsea,0,0,D,6,20,3,11,12,12,4,6,0,0
'West Brom','Man United',1,2,A,14,11,8,5,16,9,6,5,0,0
'Man City',Swansea,4,0,H,26,8,19,5,9,2,7,4,0,0
Arsenal,Liverpool,0,2,A,10,13,6,8,11,6,9,5,1,0
'Aston Villa',Blackburn,3,1,H,9,10,6,6,9,13,5,4,0,0
Chelsea,'West Brom',2,1,H,22,6,12,4,12,8,7,4,0,0
Everton,QPR,0,1,A,14,4,7,3,12,9,2,1,0,0
Sunderland,Newcastle,0,1,A,15,12,5,10,17,7,7,6,1,0
Swansea,Wigan,0,0,D,12,10,6,4,8,18,7,7,0,0
Bolton,'Man City',2,3,A,6,17,4,9,19,14,7,8,0,0
Norwich,Stoke,1,1,D,9,15,7,5,13,12,3,6,1,0
Wolves,Fulham,2,0,H,17,8,7,4,7,10,7,8,0,0
'Man United',Tottenham,3,0,H,27,20,21,12,12,9,11,3,0,0
'Aston Villa',Wolves,0,0,D,15,3,5,2,10,9,11,8,0,0
Blackburn,Everton,0,1,A,14,9,6,4,17,13,5,4,0,0
Chelsea,Norwich,3,1,H,16,9,8,6,17,14,8,6,0,1
Liverpool,Bolton,3,1,H,17,7,9,4,5,7,12,6,0,0
Swansea,Sunderland,0,0,D,15,12,6,8,7,10,7,4,0,0
Wigan,QPR,2,0,H,13,19,10,9,13,8,8,7,0,0
'Man United',Arsenal,8,2,H,25,19,15,13,9,7,3,5,0,1
Newcastle,Fulham,2,1,H,13,16,9,9,19,8,6,6,0,0
Tottenham,'Man City',1,5,A,15,22,10,12,11,9,10,5,0,0
'West Brom',Stoke,0,1,A,16,7,7,1,9,12,5,1,0,0
Arsenal,Swansea,1,0,H,18,10,8,5,10,7,4,5,0,0
Bolton,'Man United',0,5,A,20,13,13,9,14,1,5,7,0,0
Everton,'Aston Villa',2,2,D,17,7,10,3,13,11,8,0,0,0
'Man City',Wigan,3,0,H,23,9,10,5,6,9,8,3,0,0
Stoke,Liverpool,1,0,H,3,20,1,11,12,13,2,12,0,0
Sunderland,Chelsea,1,2,A,14,16,7,8,7,3,4,7,0,0
Wolves,Tottenham,0,2,A,10,17,6,11,5,12,4,10,0,0
Fulham,Blackburn,1,1,D,13,10,8,5,7,12,11,2,0,0
Norwich,'West Brom',0,1,A,17,14,5,9,10,11,1,3,0,0
QPR,Newcastle,0,0,D,14,8,5,3,10,15,6,4,0,0
'Aston Villa',Newcastle,1,1,D,10,21,2,13,13,10,4,9,0,0
Blackburn,Arsenal,4,3,H,10,24,5,16,14,9,2,13,0,0
Bolton,Norwich,1,2,A,7,11,7,5,8,8,6,9,1,0
Everton,Wigan,3,1,H,17,9,10,4,14,8,4,9,0,0
Swansea,'West Brom',3,0,H,7,13,5,8,4,9,2,8,0,0
Wolves,QPR,0,3,A,13,17,6,12,15,13,4,8,0,0
Fulham,'Man City',2,2,D,14,18,11,11,10,9,6,9,0,0
'Man United',Chelsea,3,1,H,12,20,7,9,11,12,4,10,0,0
Sunderland,Stoke,4,0,H,8,9,7,5,15,12,6,5,0,0
Tottenham,Liverpool,4,0,H,24,5,16,2,10,9,4,1,0,2
Arsenal,Bolton,3,0,H,23,3,14,3,7,9,9,2,0,1
Chelsea,Swansea,4,1,H,15,5,7,4,15,11,1,6,1,0
Liverpool,Wolves,2,1,H,14,11,6,6,15,6,7,2,0,0
'Man City',Everton,2,0,H,18,7,8,3,9,13,7,5,0,0
Newcastle,Blackburn,3,1,H,19,4,8,1,6,16,4,2,0,1
Stoke,'Man United',1,1,D,14,13,8,9,10,3,8,8,0,0
'West Brom',Fulham,0,0,D,8,18,5,9,6,14,1,1,0,0
Wigan,Tottenham,1,2,A,5,14,4,7,13,6,1,9,1,0
QPR,'Aston Villa',1,1,D,17,8,9,4,14,19,11,8,1,0
Norwich,Sunderland,2,1,H,11,12,8,6,3,7,7,4,0,0
'Aston Villa',Wigan,2,0,H,16,14,10,9,12,6,5,10,0,0
Blackburn,'Man City',0,4,A,5,19,4,12,9,14,4,5,0,0
Everton,Liverpool,0,2,A,12,15,4,9,15,9,5,9,1,0
'Man United',Norwich,2,0,H,17,13,9,6,9,6,10,3,0,0
Sunderland,'West Brom',2,2,D,12,7,7,3,9,13,7,4,0,0
Wolves,Newcastle,1,2,A,25,10,12,6,7,10,10,5,0,0
Bolton,Chelsea,1,5,A,14,21,10,14,10,11,4,5,0,0
Fulham,QPR,6,0,H,19,17,13,10,10,7,4,4,0,0
Swansea,Stoke,2,0,H,9,11,5,6,14,18,6,5,0,0
