HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HR,AR
Tottenham,Arsenal,2,1,H,16,13,8,7,11,8,9,7,0,0
Chelsea,Everton,3,1,H,7,9,5,5,13,11,2,2,0,0
Liverpool,'Man United',1,1,D,14,10,8,3,8,11,8,3,0,0
'Man City','Aston Villa',4,1,H,15,8,10,6,10,6,5,1,0,0
Norwich,Swansea,3,1,H,15,12,8,4,6,5,4,4,0,0
QPR,Blackburn,1,1,D,12,10,6,9,10,13,5,7,0,0
Stoke,Fulham,2,0,H,14,4,6,1,14,15,5,2,0,0
Wigan,Bolton,1,3,A,13,14,9,11,16,14,5,4,0,0
Arsenal,Sunderland,2,1,H,20,8,11,4,9,19,9,2,0,0
Newcastle,Tottenham,2,2,D,12,11,7,8,11,15,5,2,0,0
'West Brom',Wolves,2,0,H,17,13,11,10,14,12,2,11,0,0
'Aston Villa','West Brom',1,2,A,3,8,0,5,11,8,3,8,1,0
Bolton,Sunderland,0,2,A,15,18,8,10,15,14,2,11,0,0
Liverpool,Norwich,1,1,D,25,12,15,10,6,8,10,3,0,0
Newcastle,Wigan,1,0,H,13,12,10,5,7,22,7,3,0,0
Wolves,Swansea,2,2,D,20,16,13,14,14,11,8,13,0,0
Arsenal,Stoke,3,1,H,9,5,5,2,9,13,10,1,0,0
Blackburn,Tottenham,1,2,A,19,9,8,7,19,7,8,5,0,0
Fulham,Everton,1,3,A,15,11,8,7,12,8,5,1,0,0
'Man United','Man City',1,6,A,12,19,8,12,15,11,7,4,1,0
QPR,Chelsea,1,0,H,8,14,3,7,17,17,0,6,0,2
Chelsea,Arsenal,3,5,A,12,13,10,8,7,18,3,2,0,0
Everton,'Man United',0,1,A,18,7,11,6,12,8,4,1,0,0
'Man City',Wolves,3,1,H,18,9,9,2,17,5,5,4,1,0
Norwich,Blackburn,3,3,D,13,12,6,7,9,10,6,2,0,0
Sunderland,'Aston Villa',2,2,D,13,10,8,5,7,13,5,6,0,0
Swansea,Bolton,3,1,H,20,8,12,3,9,14,10,2,0,1
'West Brom',Liverpool,0,2,A,10,17,6,7,12,9,3,10,0,0
Wigan,Fulham,0,2,A,18,7,9,5,17,14,9,0,0,0
Tottenham,QPR,3,1,H,22,12,13,8,12,14,4,8,0,0
Stoke,Newcastle,1,3,A,10,6,4,2,8,14,8,2,0,0
Arsenal,'West Brom',3,0,H,12,9,7,4,12,12,4,1,0,0
'Aston Villa',Norwich,3,2,H,12,9,6,7,11,9,6,6,0,0
Blackburn,Chelsea,0,1,A,13,12,8,8,12,10,5,8,0,0
Liverpool,Swansea,0,0,D,18,9,10,3,13,5,11,4,0,0
'Man United',Sunderland,1,0,H,15,9,9,3,6,14,6,2,0,0
Newcastle,Everton,2,1,H,10,14,6,6,12,15,5,3,0,0
QPR,'Man City',2,3,A,18,16,9,8,5,14,3,1,0,0
Bolton,Stoke,5,0,H,20,9,16,6,10,9,12,4,0,0
Fulham,Tottenham,1,3,A,26,8,20,8,5,9,11,1,0,0
Wolves,Wigan,3,1,H,13,13,12,7,11,13,5,6,0,0
Everton,Wolves,2,1,H,13,4,9,1,14,13,9,1,0,0
'Man City',Newcastle,3,1,H,12,10,9,7,10,7,4,5,0,0
Norwich,Arsenal,1,2,A,7,20,4,14,11,9,1,6,0,0
Stoke,QPR,2,3,A,17,9,7,8,17,10,9,5,0,0
Sunderland,Fulham,0,0,D,13,13,8,9,8,12,6,7,0,0
Swansea,'Man United',0,1,A,9,13,6,7,6,9,6,2,0,0
'West Brom',Bolton,2,1,H,16,8,9,6,12,12,7,5,0,0
Wigan,Blackburn,3,3,D,21,6,11,2,14,13,7,3,0,1
Chelsea,Liverpool,1,2,A,18,9,5,3,13,11,6,5,0,0
Tottenham,'Aston Villa',2,0,H,20,5,9,1,4,5,11,3,0,0
Arsenal,Fulham,1,1,D,20,10,12,6,9,7,13,4,0,0
Bolton,Everton,0,2,A,8,17,7,14,9,10,2,4,1,0
Chelsea,Wolves,3,0,H,17,7,11,2,10,10,9,2,0,0
'Man United',Newcastle,1,1,D,23,8,13,6,12,15,11,3,0,1
Norwich,QPR,2,1,H,15,13,8,4,15,7,6,4,0,0
Stoke,Blackburn,3,1,H,8,16,5,12,10,5,2,6,0,0
Sunderland,Wigan,1,2,A,17,7,11,4,12,13,3,2,0,0
'West Brom',Tottenham,1,3,A,9,23,5,14,11,13,1,10,0,0
Liverpool,'Man City',1,1,D,17,7,9,3,11,13,8,5,0,1
Swansea,'Aston Villa',0,0,D,6,9,2,4,9,17,4,6,0,0
'Aston Villa','Man United',0,1,A,7,11,3,5,4,11,5,5,0,0
Blackburn,Swansea,4,2,H,14,10,9,5,12,13,3,4,0,1
'Man City',Norwich,5,1,H,21,5,16,2,8,7,12,4,0,0
Newcastle,Chelsea,0,3,A,16,21,9,13,7,6,6,5,0,0
QPR,'West Brom',1,1,D,14,15,4,10,7,9,3,5,0,0
Tottenham,Bolton,3,0,H,25,13,16,9,10,5,7,6,0,1
Wigan,Arsenal,0,4,A,7,16,4,10,8,12,4,5,0,0
Everton,Stoke,0,1,A,11,7,4,4,14,13,10,6,0,0
Wolves,Sunderland,2,1,H,15,18,10,12,10,12,8,3,0,0
Fulham,Liverpool,1,0,H,19,17,13,9,12,9,2,10,0,1
Arsenal,Everton,1,0,H,12,7,7,1,7,14,7,4,0,0
Bolton,'Aston Villa',1,2,A,17,17,12,11,10,7,6,10,0,0
Liverpool,QPR,1,0,H,21,6,15,2,12,5,17,5,0,0
'Man United',Wolves,4,1,H,22,11,18,8,7,8,8,2,0,0
Norwich,Newcastle,4,2,H,13,11,11,8,9,8,7,2,0,1
Swansea,Fulham,2,0,H,16,12,8,7,8,7,6,5,0,0
'West Brom',Wigan,1,2,A,13,7,8,4,9,7,13,2,0,0
Stoke,Tottenham,2,1,H,10,15,7,12,8,7,7,12,0,1
Sunderland,Blackburn,2,1,H,22,3,12,2,11,7,9,0,0,0
Chelsea,'Man City',2,1,H,13,7,7,4,11,18,5,1,0,1
Blackburn,'West Brom',1,2,A,17,13,14,6,7,10,3,7,0,0
Everton,Norwich,1,1,D,28,7,15,1,9,12,13,0,0,0
Fulham,Bolton,2,0,H,16,14,9,6,6,11,8,4,0,0
Newcastle,Swansea,0,0,D,17,3,6,0,11,11,9,1,0,0
Wigan,Chelsea,1,1,D,15,10,7,5,8,6,7,5,0,0
Wolves,Stoke,1,2,A,10,8,5,4,8,11,7,5,0,0
'Aston Villa',Liverpool,0,2,A,16,19,8,12,5,14,4,10,0,0
'Man City',Arsenal,1,0,H,15,12,9,8,13,10,4,6,0,0
QPR,'Man United',0,2,A,11,19,3,12,5,7,5,10,0,0
Tottenham,Sunderland,1,0,H,16,8,12,4,6,8,6,0,0,0
Blackburn,Bolton,1,2,A,17,8,7,5,10,7,5,9,0,0
Wolves,Norwich,2,2,D,18,18,9,14,5,11,4,6,0,0
'Aston Villa',Arsenal,1,2,A,10,8,4,6,10,8,7,15,1,0
Everton,Swansea,1,0,H,13,4,6,4,8,13,9,2,0,0
Fulham,'Man United',0,5,A,13,14,8,12,7,8,3,10,0,0
'Man City',Stoke,3,0,H,20,2,16,0,7,5,5,2,0,0
Newcastle,'West Brom',2,3,A,21,14,11,8,9,10,10,1,0,0
QPR,Sunderland,2,3,A,17,17,9,13,10,11,8,11,0,0
Wigan,Liverpool,0,0,D,15,18,10,10,16,12,7,14,0,0
Tottenham,Chelsea,1,1,D,16,20,10,10,14,8,7,4,0,0
Bolton,Newcastle,0,2,A,4,12,3,7,9,11,4,4,0,0
Chelsea,Fulham,1,1,D,24,9,15,6,10,12,9,3,0,0
Liverpool,Blackburn,1,1,D,28,5,13,2,5,15,9,2,0,0
'Man United',Wigan,5,0,H,17,9,9,5,12,10,10,2,0,1
Stoke,'Aston Villa',0,0,D,7,10,2,4,13,10,7,7,0,0
Sunderland,Everton,1,1,D,12,9,8,3,6,14,5,6,0,0
'West Brom','Man City',0,0,D,7,18,3,9,8,8,5,9,0,0
Arsenal,Wolves,1,1,D,23,6,17,4,3,12,13,3,0,1
Norwich,Tottenham,0,2,A,8,19,4,8,7,6,3,10,0,0
Swansea,QPR,1,1,D,7,12,4,7,9,12,5,11,0,0
Liverpool,Newcastle,3,1,H,15,5,7,2,7,11,7,0,0,0
Arsenal,QPR,1,0,H,16,6,7,3,11,13,12,4,0,0
Bolton,Wolves,1,1,D,13,8,9,5,11,8,3,6,0,0
Chelsea,'Aston Villa',1,3,A,16,12,5,9,7,13,9,2,0,0
'Man United',Blackburn,2,3,A,26,10,13,5,8,10,17,3,0,0
Norwich,Fulham,1,1,D,18,11,9,6,9,6,4,3,0,0
Stoke,Wigan,2,2,D,12,10,3,6,14,5,8,5,0,1
Swansea,Tottenham,1,1,D,14,12,8,7,8,4,10,5,0,0
Sunderland,'Man City',1,0,H,8,25,5,11,7,6,1,10,0,0
'West Brom',Everton,0,1,A,10,13,2,8,10,8,2,7,0,0
'Aston Villa',Swansea,0,2,A,10,8,2,4,11,6,14,0,0,0
Blackburn,Stoke,1,2,A,14,8,7,3,8,7,8,3,0,0
Fulham,Arsenal,2,1,H,21,17,8,10,6,12,4,3,0,1
QPR,Norwich,1,2,A,9,13,6,6,12,12,2,5,1,0
Wolves,Chelsea,1,2,A,9,15,5,10,9,10,0,5,0,0
'Man City',Liverpool,3,0,H,10,18,8,10,13,7,5,6,1,0
Tottenham,'West Brom',1,0,H,20,8,14,2,3,14,14,7,0,0
Wigan,Sunderland,1,4,A,20,10,10,9,9,6,9,6,0,0
Everton,Bolton,1,2,A,10,12,4,7,7,11,5,10,0,0
Newcastle,'Man United',3,0,H,10,6,6,6,16,15,4,4,0,0
Tottenham,Everton,2,0,H,14,11,7,4,5,15,6,4,0,0
'Aston Villa',Everton,1,1,D,17,7,11,4,12,11,9,3,0,0
Blackburn,Fulham,3,1,H,15,17,11,7,14,11,0,9,1,0
Chelsea,Sunderland,1,0,H,21,9,10,4,9,9,8,2,0,0
Liverpool,Stoke,0,0,D,13,3,5,1,6,11,11,1,0,0
'Man United',Bolton,3,0,H,19,11,9,5,7,7,11,3,0,0
Tottenham,Wolves,1,1,D,22,5,10,3,6,12,8,1,0,0
'West Brom',Norwich,1,2,A,16,7,8,4,6,14,10,5,0,0
Newcastle,QPR,1,0,H,9,15,4,9,5,9,3,2,0,0
Swansea,Arsenal,3,2,H,9,14,5,9,9,9,9,2,0,0
Wigan,'Man City',0,1,A,7,12,4,8,16,15,4,5,0,0
Bolton,Liverpool,3,1,H,15,11,8,8,10,13,5,5,0,0
Everton,Blackburn,1,1,D,15,14,8,8,15,13,5,8,0,0
Fulham,Newcastle,5,2,H,10,15,7,9,8,12,2,6,0,0
Norwich,Chelsea,0,0,D,5,19,3,9,5,4,1,11,0,0
QPR,Wigan,3,1,H,16,9,8,4,10,15,7,1,0,0
Stoke,'West Brom',1,2,A,10,15,3,6,10,10,5,1,0,0
Sunderland,Swansea,2,0,H,7,11,2,4,9,6,2,4,0,0
Wolves,'Aston Villa',2,3,A,13,11,9,5,11,8,12,3,1,0
Arsenal,'Man United',1,2,A,12,9,6,5,15,6,0,5,0,0
'Man City',Tottenham,3,2,H,13,12,7,7,7,10,9,4,0,0
Everton,'Man City',1,0,H,9,17,4,11,12,9,3,9,0,0
'Man United',Stoke,2,0,H,11,8,7,3,9,14,9,2,0,0
Swansea,Chelsea,1,1,D,7,20,5,10,10,19,1,11,0,1
Tottenham,Wigan,3,1,H,20,10,13,6,7,7,5,0,0,0
Wolves,Liverpool,0,3,A,5,23,1,14,6,8,5,4,0,0
'Aston Villa',QPR,2,2,D,23,3,15,3,3,12,9,3,0,0
Blackburn,Newcastle,0,2,A,23,9,12,5,9,17,14,2,0,0
Bolton,Arsenal,0,0,D,14,16,8,7,8,10,6,6,0,0
Fulham,'West Brom',1,1,D,13,15,6,11,6,7,8,7,0,0
Sunderland,Norwich,3,0,H,10,12,6,4,6,14,3,6,0,0
Arsenal,Blackburn,7,1,H,20,3,11,3,9,14,11,1,0,1
'Man City',Fulham,3,0,H,16,11,10,8,8,7,4,6,0,0
Norwich,Bolton,2,0,H,22,10,9,6,6,6,4,7,0,0
QPR,Wolves,1,2,A,13,14,8,6,7,14,7,3,1,0
Stoke,Sunderland,0,1,A,9,4,6,2,12,6,5,5,1,0
'West Brom',Swansea,1,2,A,18,15,11,8,11,6,8,7,0,0
Wigan,Everton,1,1,D,2,8,1,4,12,8,4,3,0,0
Chelsea,'Man United',3,3,D,19,14,10,10,14,13,6,6,0,0
Newcastle,'Aston Villa',2,1,H,16,13,8,8,6,11,4,4,0,0
Liverpool,Tottenham,0,0,D,15,9,10,6,6,11,7,4,0,0
Blackburn,QPR,3,2,H,7,25,5,13,11,10,5,6,0,0
Bolton,Wigan,1,2,A,13,10,8,6,19,10,7,7,0,0
Everton,Chelsea,2,0,H,10,8,7,7,13,12,2,4,0,0
Fulham,Stoke,2,1,H,11,12,4,4,12,6,5,4,0,0
'Man United',Liverpool,2,1,H,11,9,6,6,10,11,4,3,0,0
Sunderland,Arsenal,1,2,A,8,10,5,8,7,7,7,3,0,0
Swansea,Norwich,2,3,A,16,18,9,11,6,12,6,8,0,0
Tottenham,Newcastle,5,0,H,18,7,9,3,7,9,4,3,0,0
'Aston Villa','Man City',0,1,A,9,17,5,10,15,5,5,8,0,0
Wolves,'West Brom',1,5,A,10,26,8,16,6,11,12,8,0,0
Chelsea,Bolton,3,0,H,25,8,16,1,7,13,14,7,0,0
'Man City',Blackburn,3,0,H,20,2,13,2,6,10,10,3,0,0
Newcastle,Wolves,2,2,D,13,7,8,6,8,8,3,3,0,0
QPR,Fulham,0,1,A,17,7,8,3,17,12,6,5,1,0
'West Brom',Sunderland,4,0,H,18,10,13,4,6,8,7,0,0,0
Wigan,'Aston Villa',0,0,D,14,10,6,3,8,8,14,7,0,0
Arsenal,Tottenham,5,2,H,21,8,13,4,15,12,7,5,0,1
Norwich,'Man United',1,2,A,16,11,7,9,9,10,4,4,0,0
Stoke,Swansea,2,0,H,9,11,6,6,13,7,8,4,0,0
Blackburn,'Aston Villa',1,1,D,15,17,9,12,9,5,4,8,0,0
Liverpool,Arsenal,1,2,A,12,10,4,7,11,9,12,0,0,0
'Man City',Bolton,2,0,H,23,8,10,5,13,8,7,4,0,0
QPR,Everton,1,1,D,22,8,10,5,16,15,7,7,0,0
Stoke,Norwich,1,0,H,11,7,7,5,10,16,8,2,0,0
'West Brom',Chelsea,1,0,H,19,13,11,6,9,10,14,5,0,0
Wigan,Swansea,0,2,A,14,12,8,8,15,7,8,4,0,1
Fulham,Wolves,5,0,H,25,8,19,3,7,9,7,7,0,0
Newcastle,Sunderland,1,1,D,24,7,12,6,14,14,19,4,0,1
Tottenham,'Man United',1,3,A,18,6,9,5,8,10,7,3,0,0
'Aston Villa',Fulham,1,0,H,19,5,8,1,9,11,10,4,0,0
Bolton,QPR,2,1,H,11,17,7,11,13,13,10,6,0,0
Chelsea,Stoke,1,0,H,21,8,11,3,12,15,14,1,0,1
Everton,Tottenham,1,0,H,9,21,5,9,13,11,0,8,0,0
Sunderland,Liverpool,1,0,H,6,9,1,5,13,15,3,2,0,0
Wolves,Blackburn,0,2,A,14,12,7,8,10,10,3,4,0,0
'Man United','West Brom',2,0,H,20,6,9,3,5,13,8,5,0,1
Norwich,Wigan,1,1,D,13,18,6,9,12,7,3,5,0,0
Swansea,'Man City',1,0,H,8,18,5,13,9,14,7,9,0,0
Arsenal,Newcastle,2,1,H,21,5,13,3,11,12,6,3,0,0
Liverpool,Everton,3,0,H,15,5,10,3,6,7,4,4,0,0
Fulham,Swansea,0,3,A,14,10,7,7,8,7,6,2,0,0
Wigan,'West Brom',1,1,D,20,8,6,2,8,10,13,5,0,0
Newcastle,Norwich,1,0,H,15,12,10,5,8,15,4,5,0,0
Wolves,'Man United',0,5,A,7,22,3,18,6,11,4,7,1,0
Blackburn,Sunderland,2,0,H,16,2,9,0,13,10,7,8,0,0
Everton,Arsenal,0,1,A,7,12,2,8,11,11,4,6,0,0
'Man City',Chelsea,2,1,H,20,6,10,5,8,7,11,4,0,0
QPR,Liverpool,3,2,H,10,18,5,11,8,6,7,17,0,0
Tottenham,Stoke,1,1,D,24,8,18,2,10,10,13,1,0,0
Arsenal,'Aston Villa',3,0,H,20,3,12,2,6,13,15,5,0,0
Bolton,Blackburn,2,1,H,12,10,6,4,8,3,11,4,0,0
Chelsea,Tottenham,0,0,D,10,19,5,7,9,11,6,5,0,0
Liverpool,Wigan,1,2,A,12,6,9,5,14,10,6,0,0,0
Norwich,Wolves,2,1,H,15,10,11,6,13,7,5,5,1,0
Stoke,'Man City',1,1,D,10,16,3,11,15,12,5,7,0,0
Sunderland,QPR,3,1,H,15,10,8,6,11,9,5,2,0,1
Swansea,Everton,0,2,A,10,15,3,8,10,10,3,3,0,0
'West Brom',Newcastle,1,3,A,14,10,6,7,10,4,10,4,0,0
'Man United',Fulham,1,0,H,19,5,16,4,17,6,7,1,0,0
'Aston Villa',Chelsea,2,4,A,9,12,5,9,13,5,6,4,0,0
Everton,'West Brom',2,0,H,16,9,9,5,8,12,5,2,0,0
Fulham,Norwich,2,1,H,14,16,9,8,11,9,6,7,0,0
'Man City',Sunderland,3,3,D,19,8,10,4,11,13,17,5,0,0
QPR,Arsenal,2,1,H,10,13,8,7,13,9,4,6,0,0
Wigan,Stoke,2,0,H,13,6,11,2,14,13,8,1,0,0
Wolves,Bolton,2,3,A,14,19,8,11,11,11,13,4,0,0
Newcastle,Liverpool,2,0,H,11,9,7,6,10,11,3,6,0,1
Tottenham,Swansea,3,1,H,15,11,10,7,11,12,7,7,0,0
Blackburn,'Man United',0,2,A,11,14,6,6,8,5,2,10,0,0
Swansea,Newcastle,0,2,A,19,5,13,4,10,7,7,0,0,0
Bolton,Fulham,0,3,A,13,11,7,8,11,9,5,3,0,0
Chelsea,Wigan,2,1,H,19,13,10,7,14,11,5,3,0,0
Liverpool,'Aston Villa',1,1,D,21,5,5,3,4,9,11,3,0,0
Norwich,Everton,2,2,D,14,9,11,5,7,17,2,4,0,0
Stoke,Wolves,2,1,H,14,9,6,5,7,11,3,8,0,0
Sunderland,Tottenham,0,0,D,12,15,9,8,12,10,11,4,0,0
'West Brom',Blackburn,3,0,H,9,16,6,10,5,7,8,4,0,1
Arsenal,'Man City',1,0,H,12,7,7,2,13,14,7,6,0,1
'Man United',QPR,2,0,H,24,9,14,7,13,10,11,5,0,1
'Aston Villa',Stoke,1,1,D,7,7,3,3,9,9,5,4,0,0
Everton,Sunderland,4,0,H,22,3,12,0,7,12,5,2,0,0
Fulham,Chelsea,1,1,D,11,12,9,4,5,16,7,11,0,0
Newcastle,Bolton,2,0,H,8,9,4,6,7,18,6,5,0,0
Tottenham,Norwich,1,2,A,13,12,9,6,12,12,10,3,0,0
Blackburn,Liverpool,2,3,A,10,16,4,12,16,12,4,4,0,1
'Man City','West Brom',4,0,H,17,4,12,1,7,9,6,2,0,0
QPR,Swansea,3,0,H,16,9,8,6,9,10,6,9,0,0
Wigan,'Man United',1,0,H,11,8,8,3,8,14,7,3,0,0
Wolves,Arsenal,0,3,A,9,10,6,7,9,4,6,4,1,0
Norwich,'Man City',1,6,A,16,22,8,17,10,5,3,5,0,0
Sunderland,Wolves,0,0,D,15,12,6,8,4,11,8,4,0,0
Swansea,Blackburn,3,0,H,16,7,8,2,8,12,7,3,0,0
'West Brom',QPR,1,0,H,15,16,10,6,13,11,6,8,0,0
'Man United','Aston Villa',4,0,H,24,10,16,4,9,7,11,4,0,0
Arsenal,Wigan,1,2,A,18,12,8,7,15,13,9,3,0,0
Arsenal,Chelsea,0,0,D,13,13,8,7,11,11,7,7,0,0
'Aston Villa',Sunderland,0,0,D,12,10,7,5,11,8,8,5,0,1
Blackburn,Norwich,2,0,H,9,12,6,5,8,13,9,7,0,0
Bolton,Swansea,1,1,D,7,20,5,12,19,7,8,10,0,0
Fulham,Wigan,2,1,H,15,9,9,5,11,16,4,0,0,0
Newcastle,Stoke,3,0,H,16,7,11,2,8,10,4,5,0,0
QPR,Tottenham,1,0,H,12,17,5,8,13,10,4,13,1,0
Liverpool,'West Brom',0,1,A,28,9,12,4,10,8,15,3,0,0
'Man United',Everton,4,4,D,20,17,11,10,8,11,5,2,0,0
Wolves,'Man City',0,2,A,7,17,4,9,6,10,7,4,0,0
'Aston Villa',Bolton,1,2,A,17,12,6,11,9,16,9,6,0,0
Everton,Fulham,4,0,H,11,6,7,5,13,8,3,5,0,0
Norwich,Liverpool,0,3,A,8,15,3,9,9,4,5,7,0,0
Stoke,Arsenal,1,1,D,6,17,4,10,8,10,2,6,0,0
Sunderland,Bolton,2,2,D,12,16,6,9,8,16,7,5,0,0
Swansea,Wolves,4,4,D,10,15,8,9,8,8,2,6,0,0
'West Brom','Aston Villa',0,0,D,13,8,7,5,14,16,10,3,0,0
Wigan,Newcastle,4,0,H,10,11,8,3,14,12,4,1,0,0
Chelsea,QPR,6,1,H,25,11,18,7,9,8,8,5,0,0
Tottenham,Blackburn,2,0,H,19,0,8,0,5,14,6,1,0,0
'Man City','Man United',1,0,H,12,4,5,2,11,14,8,8,0,0
Liverpool,Fulham,0,1,A,18,7,5,4,11,7,5,4,0,0
Stoke,Everton,1,1,D,10,11,5,4,6,14,4,6,0,0
Bolton,Tottenham,1,4,A,14,13,8,10,6,9,4,7,0,0
Chelsea,Newcastle,0,2,A,17,12,6,6,9,5,4,4,0,0
Arsenal,Norwich,3,3,D,20,12,13,6,8,15,6,1,0,0
'Aston Villa',Tottenham,1,1,D,4,21,2,10,10,8,4,19,0,1
Bolton,'West Brom',2,2,D,11,17,6,13,14,8,4,4,0,0
Fulham,Sunderland,2,1,H,20,12,15,7,9,13,8,2,0,0
'Man United',Swansea,2,0,H,26,13,18,9,12,6,16,3,0,0
Newcastle,'Man City',0,2,A,14,19,9,12,12,7,2,6,0,0
QPR,Stoke,1,0,H,21,8,12,1,11,14,7,3,0,0
Wolves,Everton,0,0,D,7,18,1,10,7,10,3,7,0,0
Blackburn,Wigan,0,1,A,12,19,7,9,14,12,5,6,0,0
Liverpool,Chelsea,4,1,H,23,9,13,5,15,13,7,4,0,0
Chelsea,Blackburn,2,1,H,18,8,6,5,13,4,8,2,0,0
Everton,Newcastle,3,1,H,17,11,11,5,15,16,4,3,0,0
'Man City',QPR,3,2,H,35,3,24,3,4,6,19,0,0,1
Norwich,'Aston Villa',2,0,H,21,9,12,5,6,10,9,6,0,0
Stoke,Bolton,2,2,D,12,20,8,8,10,5,5,9,0,0
Sunderland,'Man United',0,1,A,6,17,5,9,14,11,1,9,0,0
